ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,classification
ENSMUSG00000020524,Gria1,2.0715110953024545,2.864631984544862,1.542090552942192,1.8576289045279224,0.06322173092701024,0.938145368854426,Not significant
ENSMUSG00000029212,Gabrb1,5.290106383034621,2.301483623098076,1.0628239496505103,2.165442003687323,0.03035385229738747,0.7583792169585096,Not significant
ENSMUSG00000029468,P2rx7,3.3580827146387273,2.075159591171176,1.4805361411282558,1.4016271089402663,0.16102662742653354,0.9999745046429632,Not significant
ENSMUSG00000030340,Scnn1a,17.169188526088476,1.4840228671820417,1.1874040722519008,1.2498044278790506,0.21137099820456123,0.9999745046429632,Not significant
ENSMUSG00000046168,Kcnrg,6.0710767524068165,1.4317208268781976,1.578228174297377,0.907169730077589,0.3643170482584104,0.9999745046429632,Not significant
ENSMUSG00000023387,Kcnk16,2.5829436046596363,1.3063838881977057,1.0469286891876857,1.247825092281435,0.2120951174603883,0.9999745046429632,Not significant
ENSMUSG00000009246,Trpm5,2.7299782894052864,1.064698941988107,1.00831964662263,1.0559141097312938,0.29100745721304694,0.9999745046429632,Not significant
ENSMUSG00000020436,Gabrg2,12.580448773664587,0.9591320937734592,1.0644930126983485,0.9010224419812648,0.3675763875972998,0.9999745046429632,Not significant
ENSMUSG00000075316,Scn9a,292.6865290651816,0.8884395886544664,0.13592455624597968,6.536269922019659,6.3072042863154e-11,4.3123256734722146e-8,"Significant, smaller effect"
ENSMUSG00000040118,Cacna2d1,56.903855602669424,0.6230359560877253,0.22899005125762836,2.7207992341412695,0.0065124300456049,0.35946884501508136,Not significant
