ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,neg_log10_padj
ENSMUSG00000000028,Cdc45,6.394200558359678,-1.058901223399492,0.7111350607406538,-1.4890296961264105,0.136479549062283,0.23812998908212288,Not Significant,0.6231859079435059
ENSMUSG00000000037,Scml2,11.387151064256951,-1.548576836625252,0.8205671630146788,-1.887203030323491,0.05913302288666659,0.12010775467972194,Not Significant,0.9204289517487223
ENSMUSG00000000049,Apoh,3.464764940518364,-0.26038176878579256,0.8971380452906583,-0.29023601234237373,0.7716356874631124,0.8483632007321067,Not Significant,0.07141817804514682
ENSMUSG00000000056,Narf,4.625316043867024,-0.7890964945950625,0.9854517273141596,-0.8007459652496002,0.4232787264806557,0.5616334678931056,Not Significant,0.2505470203792872
ENSMUSG00000000078,Klf6,3259.3319467549204,-1.1608194791071715,0.1100700063196727,-10.5461925361923,5.289746448430709e-26,2.7345408774265576e-24,Downregulated,23.563115580167164
ENSMUSG00000000085,Scmh1,829.4098798941493,0.5372199386756974,0.11600080623673233,4.631174179766896,3.6359782624950007e-6,2.1654951675049254e-5,Not Significant,4.6644427810998215
ENSMUSG00000000088,Cox5a,140.89526918433592,1.9009512190400883,0.19633890680977137,9.68198942292105,3.5964835288485365e-22,1.3199561626657099e-20,Upregulated,19.879440491997578
ENSMUSG00000000093,Tbx2,1000.9926151379024,1.2986747881507117,0.1512812805321084,8.584504200273985,9.122901573918551e-18,2.281532729902108e-16,Upregulated,15.641773296641958
ENSMUSG00000000094,Tbx4,2.535029879532361,-0.37701124126901664,3.2382954505008774,-0.11642274370323533,0.9073175110887696,0.9418105734937972,Not Significant,0.0260364381402344
ENSMUSG00000000120,Ngfr,16043.619758341176,1.9788098735253088,0.2647390820102454,7.474566499587427,7.745876926759745e-14,1.3498364765687384e-12,Upregulated,11.86971884011634
ENSMUSG00000000131,Xpo6,935.0611219471438,0.07698990516152508,0.1341981494282222,0.5737031806292101,0.566168675625325,0.6920882462622026,Not Significant,0.15983852632175313
ENSMUSG00000000134,Tfe3,293.053974264102,-0.4066579550993975,0.15864021698592645,-2.563397622782334,0.01036532648941707,0.02769531609747177,Not Significant,1.557593673716275
ENSMUSG00000000142,Axin2,58.21754648897724,1.8355413086862928,0.6366684781096956,2.8830409731232773,0.00393856207440974,0.01195363218213117,Upregulated,1.9225001117053155
ENSMUSG00000000148,Brat1,638.2730874911138,0.28316803017510056,0.14114385457759682,2.0062370481700493,0.04483096287295378,0.09548471378894664,Not Significant,1.020066149342742
ENSMUSG00000000154,Slc22a18,8.855095411419292,0.08045489225903953,0.896145367640979,0.0897788407597639,0.9284629629046416,0.9561505010028,Not Significant,0.01947374306835882
ENSMUSG00000000157,Itgb2l,8.401377080685007,-1.432444384832058,0.7706410007954891,-1.8587700152904227,0.06305974433213561,0.12653165016829548,Not Significant,0.8978008280519993
ENSMUSG00000000167,Pih1d2,62.06045655184809,-0.8867574203016915,0.2143547712429685,-4.136868123623723,3.5207831859783615e-5,1.744547039785187e-4,Not Significant,3.7583173157866874
ENSMUSG00000000168,Dlat,339.80543666228584,0.8360742601124826,0.13426169130586232,6.227198927561676,4.748480521894407e-10,5.067038120153654e-9,Not Significant,8.295245828428866
ENSMUSG00000000183,Fgf6,1.14377752358972,2.5219238146902017,2.0816810037860307,1.211484281262828,0.2257098553745839,0.3501497079351734,Not Significant,0.45574623156701194
ENSMUSG00000000184,Ccnd2,678.2322872557213,-1.995197899639418,0.13868315387140717,-14.386735835914498,6.26853664029231e-47,1.0523693789385784e-44,Downregulated,43.97783179718029
ENSMUSG00000000194,Gpr107,125.1874695842292,-1.727435414628889,0.18944224324794215,-9.118533358834966,7.614781141741302e-20,2.29336108418056e-18,Downregulated,17.639527561266025
ENSMUSG00000000197,Nalcn,20.408955451206232,0.7637131150911868,0.6371295519932213,1.1986779026368444,0.23065321356267351,0.3559668081800008,Not Significant,0.4485904955560781
ENSMUSG00000000202,Btbd17,1.0384372053211797,2.364983156823377,2.0104702289822103,1.1763333387038697,0.2394616984368046,0.3663880670180887,Not Significant,0.436058679416277
ENSMUSG00000000204,Slfn4,31.13243166901115,-2.0787348449450302,0.9469630553969538,-2.195159392014141,0.02815216606796321,0.06476029410505822,Not Significant,1.1886911875913964
ENSMUSG00000000214,Th,16.75791084887501,3.7367108350659457,1.103561949980329,3.386045373467754,7.090765853712632e-4,0.00264360215073771,Upregulated,2.5778039034754086
ENSMUSG00000000223,Drp2,11102.367276890142,0.3680468728512591,0.15219486109452485,2.418260841426658,0.01559489326529781,0.03937855699276094,Not Significant,1.4047402024072329
ENSMUSG00000000244,Tspan32,6.86628778665712,-0.7658379193312992,0.8186007414070787,-0.9355451083698184,0.34950744797441197,0.4869154784203541,Not Significant,0.3125464195684982
ENSMUSG00000000248,Clec2g,4.133445184571988,-0.5772898541887802,0.8756413600480264,-0.6592765948802572,0.5097181691790524,0.6416318690868608,Not Significant,0.19271407330113888
ENSMUSG00000000253,Gmpr,16.835762012517062,-1.2881627049382305,0.8456240015887652,-1.523327983262088,0.12767666952635337,0.22551327934991455,Not Significant,0.6468278796015925
ENSMUSG00000000266,Mid2,1193.9777638738492,-0.5516312948224528,0.1388330898961194,-3.973341623637462,7.087128781393158e-5,3.300449206737225e-4,Not Significant,3.4814269465674434
ENSMUSG00000000275,Trim25,7.334964019014194,0.40101863067264,1.0442395468527694,0.3840293464093262,0.7009566968142389,0.7965352209336932,Not Significant,0.09879501594701415
ENSMUSG00000000276,Dgke,1026.554677240878,0.3768022341489095,0.1443030988569071,2.611186018413587,0.00902287998033092,0.0245730730720352,Not Significant,1.6095405279004151
ENSMUSG00000000290,Itgb2,245.9696355069395,-1.2850730755651534,0.3012391448991267,-4.26595645793469,1.990476012065341e-5,1.0292928106306776e-4,Downregulated,3.987461060658857
ENSMUSG00000000295,Hddc2,58.2766526680698,-0.5789347232705329,0.27401139476634406,-2.1128125849080255,0.03461681209132378,0.07701911374104266,Not Significant,1.113401483111226
ENSMUSG00000000301,Pemt,77.30798982210068,1.5473323719814158,0.33693752973827523,4.592342008274785,4.382993036016401e-6,2.5671167502139585e-5,Upregulated,4.590554379548004
ENSMUSG00000000303,Cdh1,4333.112704385537,0.7759551875788809,0.1843779999671532,4.208502032330955,2.570692176884412e-5,1.299989756971431e-4,Not Significant,3.886060069622633
ENSMUSG00000000308,Ckmt1,88.61794667732046,2.0660259444165607,0.43836533203310585,4.713023118946213,2.4406849382881957e-6,1.4940163831629836e-5,Upregulated,4.8256446400853665
ENSMUSG00000000317,Bcl6b,34.06934181034795,-0.27424778702533475,0.34586831057408296,-0.7929254535349878,0.4278212565110841,0.5655275772397892,Not Significant,0.24754621239891694
ENSMUSG00000000318,Clec10a,130.1356322193597,-3.970598222756362,0.5754467214229878,-6.900027535021326,5.19924606229028e-12,7.098101145909339e-11,Downregulated,10.148857816372292
ENSMUSG00000000320,Alox12,43.83734200583494,0.4622546047961094,0.24869277169092327,1.858737596807204,0.06306434156477148,0.12653165016829548,Not Significant,0.8978008280519993
ENSMUSG00000000339,Rtca,87.85119037723402,1.3060794385749772,0.26233378624108084,4.978693203378347,6.401502139974344e-7,4.32445698348227e-6,Upregulated,5.364068418576737
ENSMUSG00000000340,Dbt,9.73299638016893,-0.0491812846198782,0.9125784675213254,-0.05389266388616486,0.9570206815441348,0.97384880731335,Not Significant,0.011508463292191939
ENSMUSG00000000346,Dazap2,35.08430265876863,0.23970112945028985,0.29810006629187996,0.804096196394637,0.4213414211023171,0.5599831585053213,Not Significant,0.25182503420485614
ENSMUSG00000000355,Mcts1,289.5671534987312,-0.1447305330324979,0.11185635007504537,-1.293896438918282,0.19570119473196465,0.31457392529019373,Not Significant,0.5022772784447559
ENSMUSG00000000359,Rem1,7.938004045845098,-2.4759862083589352,1.2631985564771286,-1.9600926518346329,0.04998496195826586,0.10437746489708818,Not Significant,0.981393255426293
ENSMUSG00000000365,Rnf17,1.367604399301486,-0.7724288799785476,1.7725835728986312,-0.4357644354761943,0.6630076497831456,0.7675787047468946,Not Significant,0.11487708258065735
ENSMUSG00000000374,Trappc10,139.2766798063442,-0.33252248554262465,0.2061390011790307,-1.613098363923043,0.10672313926659456,0.19552647751532976,Not Significant,0.708794423638001
ENSMUSG00000000378,Ccm2,278.9694424811403,0.23430337317376823,0.2901948939658705,0.8074000543969749,0.41943603561383486,0.5579756331294667,Not Significant,0.2533847663464317
ENSMUSG00000000384,Tbrg4,164.5801333057493,-0.6392764849571964,0.15993441651192197,-3.997116436220861,6.411876689478246e-5,3.0091276265373137e-4,Not Significant,3.5215593920786445
ENSMUSG00000000385,Tmprss2,3.832557881439698,1.2050211424916928,0.8808249422290976,1.368059741180982,0.17129337697070748,0.2844467709128405,Not Significant,0.5459989920515794
ENSMUSG00000000386,Mx1,103.72188478730185,-0.3807628772582896,0.26000490811097315,-1.464444959999661,0.14307241127781917,0.24729213105267092,Not Significant,0.6067897028654519
ENSMUSG00000000392,Fap,262.216989932156,-2.0990386697841137,0.19890573424172775,-10.552931909108146,4.923624994859462e-26,2.5530576578849248e-24,Downregulated,23.592939377041223
ENSMUSG00000000394,Gcg,2.0485205703492,-2.4749850592658844,1.688688231114989,-1.4656258115991772,0.14275025539877953,0.24681078112997917,Not Significant,0.607635873475935
ENSMUSG00000000399,Ndufa9,3280.0953386927754,0.20615592364300167,0.0954239090645182,2.160422117098715,0.03074000680995852,0.06964558464319304,Not Significant,1.157106411557032
ENSMUSG00000000409,Lck,4.3956640483536225,-0.5506056592410942,0.7290537889258604,-0.7552332456187082,0.4501090441249954,0.5871258521565831,Not Significant,0.23126879647165713
ENSMUSG00000000416,Cttnbp2,1471.201554707587,-1.090342461997508,0.09716597995628644,-11.221442551066094,3.200073366713494e-29,2.047563924754491e-27,Downregulated,26.688762530722727
ENSMUSG00000000420,Galnt1,2058.696519264224,-0.3964111517348861,0.09684966743328471,-4.093056406290249,4.257241047926619e-5,2.0689532590611564e-4,Not Significant,3.684249320625282
ENSMUSG00000000439,Mkrn2,888.9446300495731,0.4596600929138927,0.1198778186537654,3.834404880535041,1.2586866774628582e-4,5.536262335424182e-4,Not Significant,3.256783339048447
ENSMUSG00000000441,Raf1,1282.47937948384,0.01361287981890499,0.06553640427908898,0.2077147803369573,0.83545167634039,0.8930163666410926,Not Significant,0.04914058156298943
ENSMUSG00000000486,Septin1,73.80042527405473,0.5974261453822559,0.1883874365782247,3.171263202226252,0.00151777555150212,0.0051439940538217,Not Significant,2.2886995421044247
ENSMUSG00000000489,Pdgfb,15.848454143674044,1.4056473773292737,0.483200538732228,2.909035203100698,0.00362546033880989,0.01110628825742738,Upregulated,1.954431058849634
ENSMUSG00000000530,Acvrl1,154.72334713175775,-0.5793278760996604,0.6158690249336078,-0.9406673377705808,0.3468753620803564,0.4842729874927203,Not Significant,0.3149097550088668
ENSMUSG00000000538,Tom1l2,1674.9822026873442,0.2293641887978543,0.2580015736491659,0.8890030613136758,0.3740014345565337,0.5123671587897378,Not Significant,0.2904187150192448
ENSMUSG00000000555,Itga5,224.86734553518835,-0.9745133329797842,0.12308085828645758,-7.917667674299997,2.420071521128811e-15,4.9439437002723037e-14,Not Significant,13.305926483469461
ENSMUSG00000000560,Gabra2,921.2637271533648,-1.1656799606766195,0.1428617008233698,-8.15949938967781,3.36415978578512e-16,7.388949912923897e-15,Downregulated,14.131417277359828
ENSMUSG00000000561,Wdr77,426.79840156511057,-0.03210145731012854,0.11836948465560336,-0.2711970691055039,0.7862394670591938,0.8591529550464451,Not Significant,0.06592951181572997
ENSMUSG00000000562,Adora3,35.03505432238421,1.5611335032659517,0.3590084684824219,4.3484587142611915,1.3709762007086462e-5,7.291804410042598e-5,Upregulated,4.137164989054148
ENSMUSG00000000563,Atp5pb,2447.2174310270448,0.03778684719943811,0.2000752161961752,0.1888632081366231,0.8502000302281114,0.90427748792798,Not Significant,0.04369828082567653
ENSMUSG00000000568,Hnrnpd,372.8914587271563,-0.01429477400686221,0.11468329468418952,-0.12464565171611627,0.9008040853569322,0.9374598951274868,Not Significant,0.028047302477453465
ENSMUSG00000000579,Dynlt1c,663.8316313183518,-0.9608940599144634,0.12285433085108664,-7.821409739955979,5.2235018695451714e-15,1.0359028970761161e-13,Not Significant,12.984680952351859
ENSMUSG00000000581,C1d,698.2624853003884,0.1480391002596786,0.1374076254331355,1.0773717964562055,0.28131419883517333,0.4152488513492817,Not Significant,0.38169156020915923
ENSMUSG00000000600,Krit1,888.7213754031784,-0.866219541838276,0.14476448562268923,-5.9836467356777705,2.1819628450559724e-9,2.1275078781350815e-8,Not Significant,7.672128823053359
ENSMUSG00000000605,Clcn4,199.93799835334175,-0.07594564237555558,0.1686328989037698,-0.4503607710550827,0.6524503263111701,0.7601833115462242,Not Significant,0.1190816687804563
ENSMUSG00000000606,Vmn2r88,3.787327492598141,-0.415147739629671,0.8688409002565303,-0.477817906025253,0.6327798154429979,0.7450212900733206,Not Significant,0.1278313164741905
ENSMUSG00000000627,Sema4f,58.91981684802243,0.2111410910582612,0.26202030124953474,0.8058195874570087,0.42034688223813266,0.5588365795224852,Not Significant,0.2527151742027665
ENSMUSG00000000628,Hk2,7.130982006136164,0.40359426387982333,1.2177919969420594,0.33141477764123106,0.7403312040837595,0.8259676205056077,Not Significant,0.08303697751178599
ENSMUSG00000000631,Myo18a,411.6363350263696,0.4530516376838573,0.10335331055432624,4.383523229724867,1.1677519052604956e-5,6.293833854290198e-5,Not Significant,4.2010847258519926
ENSMUSG00000000632,Sez6,633.2573715752064,1.3649023413767185,0.2830142908671977,4.822732934066528,1.4160451259451702e-6,8.99942322171151e-6,Upregulated,5.045785323855662
ENSMUSG00000000673,Haao,12.448222343289162,-0.4646015036906538,0.5559076867893212,-0.835752976135279,0.4032938856700606,0.5422395319705716,Not Significant,0.26580882336411404
ENSMUSG00000000682,Cd52,4.224310179771627,-2.5550422147369933,0.9522540684299374,-2.683151796820054,0.00729318785756921,0.02044359287699514,Downregulated,1.6894427763684836
ENSMUSG00000000693,Loxl3,22.309681514332446,-0.24346556086445045,0.4650524965042758,-0.5235227478500633,0.6006105251395422,0.7204776840655166,Not Significant,0.14237946639377722
ENSMUSG00000000708,Kat2b,1456.8218082719654,-0.22811088044731617,0.08395168301462021,-2.717168641009741,0.00658430491220049,0.01873527002706352,Not Significant,1.727340043140317
ENSMUSG00000000711,Rab5b,77.67391877168774,-0.43237832313049496,0.2405403336414738,-1.797529406336304,0.072251614054066,0.14174987472507936,Not Significant,0.8484773162532625
ENSMUSG00000000724,Cryba1,1.9879232956396689,1.8378383170500976,1.3537147045762523,1.3576260277274512,0.17458237975503693,0.28857660666079216,Not Significant,0.5397388777120737
ENSMUSG00000000730,Dnmt3l,3.858500532514381,-3.4472101214540487,1.5782656628432123,-2.184176088101652,0.02894931130122308,0.06624652408069848,Not Significant,1.1788369039900184
ENSMUSG00000000731,Aire,5.2679154113749505,0.8596884116246413,0.7255891211007148,1.184814362046248,0.23609085281574024,0.3620800018400589,Not Significant,0.4411954611823001
ENSMUSG00000000732,Icosl,74.59381445261903,-0.24954356871016323,0.3703681553834103,-0.6737716649851613,0.5004564918151697,0.633358730796986,Not Significant,0.19835023836078094
ENSMUSG00000000738,Spg7,427.53689966483705,-0.4625080854064739,0.11366548462053776,-4.069028403393665,4.720959252625864e-5,2.2773423922481975e-4,Not Significant,3.6425716694791794
ENSMUSG00000000739,Sult5a1,29.244532958975647,-2.946610796098744,0.6531066136813277,-4.511684209550039,6.431489303417908e-6,3.647235204975052e-5,Downregulated,4.438036228753941
ENSMUSG00000000740,Rpl13,185.0245983346684,-0.3652391107246008,0.18648693098985847,-1.95852389647864,0.05016856982032136,0.1046448849641246,Not Significant,0.9802819950954454
