ensembl_gene_id,gene_symbol,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0.635313,0.22596999999999998,0.193732,0.414109,0.124801,0.136354,0.23774699999999999,0.520373
ENSMUSG00000000037,Scml2,1.186582,0.28999,1.578323,0.146895,1.688143,0.814695,0.041314,0.156001
ENSMUSG00000000049,Apoh,0.59775,0,0.356205,0,0.44936,1.180179,0,0.313171
ENSMUSG00000000056,Narf,1.190079,1.171412,0.827669,0.749596,0.19926,1.20001,1.4156110000000002,0.183956
ENSMUSG00000000078,Klf6,13.163006,12.047666,15.981078,14.666734000000002,12.635343,10.686636,11.800066,11.636145
ENSMUSG00000000085,Scmh1,31.234918999999994,28.701817,33.230343999999995,23.465895999999997,28.496330999999998,29.852363,28.267173,29.579159999999998
ENSMUSG00000000088,Cox5a,3.130221,2.232821,3.540318,2.240621,3.114871,2.163781,3.54522,1.567254
ENSMUSG00000000093,Tbx2,0.351336,0.349316,0.408869,0.422548,0.324815,0.237428,0.515554,0.248747
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,1.565778,2.303485,1.873431,2.197707,1.886677,1.32515,1.798894,1.717545
ENSMUSG00000000127,Fer,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,18.733027000000003,17.737408,23.242273,12.778019,19.530895,20.518237000000003,13.739548999999998,17.065371
ENSMUSG00000000134,Tfe3,2.587167,2.986072,2.2266630000000003,2.779529,3.434396,2.284291,2.539066,1.93993
ENSMUSG00000000142,Axin2,0.369124,0.544332,1.730185,0.140628,0.770987,1.229076,0.622741,0.273032
ENSMUSG00000000148,Brat1,9.416704,8.288459999999999,7.7996490000000005,7.824747999999999,7.1033290000000004,8.780678,7.995024,8.556134
ENSMUSG00000000149,Gna12,0,0,0,0,0,0,0.21205,0
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0.366606,0,0.811885
ENSMUSG00000000157,Itgb2l,0.177081,0,0.027958,0,0,0.052438,0,0.025485
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0.288171,0.295444,0
ENSMUSG00000000167,Pih1d2,6.383253,3.43853,3.332506,3.177002,4.943027,3.101143,4.007398,4.111476000000001
ENSMUSG00000000168,Dlat,30.185805000000002,27.779055999999997,28.46547,30.03056,32.815920999999996,21.969631,29.018651,35.163137000000006
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,8.645171,8.505902,8.745818,8.866666,9.178757,11.055176000000001,7.555304,8.346252999999999
ENSMUSG00000000194,Gpr107,8.207054000000001,9.994031999999999,4.589555,5.281588999999999,10.546088999999998,10.819149,5.990766999999999,10.246682
ENSMUSG00000000197,Nalcn,0.18862,0.45587,0.396487,0.39529,0.494678,0.313074,0.6436169999999999,0.473609
ENSMUSG00000000202,Btbd17,10.693137,2.819012,2.149268,4.509884,1.614459,0.601239,6.496242,4.865724
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0.133263,0,0
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,21.078136,23.996952,22.214319999999997,22.627869000000004,23.709848,19.119654,27.534067,22.432836000000002
ENSMUSG00000000244,Tspan32,0.27539600000000003,0.015394,0.033914,0.032472,0,0.465428,0.015989,0
ENSMUSG00000000247,Lhx2,0,0,0.402897,0,0,0,0.073559,0
ENSMUSG00000000248,Clec2g,0.916622,0.981219,0.35447,0.61225,1.365797,1.975679,0.656562,1.897602
ENSMUSG00000000253,Gmpr,11.728892,4.847553,2.696339,15.338776999999999,11.487947,16.903388000000003,15.711707999999998,21.951994
ENSMUSG00000000263,Glra1,0.292144,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,15.449494999999999,12.621395999999999,13.828914,13.793648000000001,12.653051,12.094166,14.341639,12.528496
ENSMUSG00000000275,Trim25,0,0,0.16193,0,0,0,0,0
ENSMUSG00000000276,Dgke,12.568116,11.26253,12.867908,11.856212999999999,13.925915,10.859696,11.636161,13.418648
ENSMUSG00000000282,Mnt,0,0,0.470406,0.230068,0,0,0,0.188733
ENSMUSG00000000290,Itgb2,6.114996,5.6940479999999996,6.977869,5.569351,3.277878,2.549285,2.60684,2.811037
ENSMUSG00000000295,Hddc2,2.591328,3.7550689999999998,2.494277,2.2636339999999997,3.799542,2.426133,1.515138,0.7068909999999999
ENSMUSG00000000301,Pemt,5.972081,1.813441,4.794608,2.8437170000000003,1.313057,3.1665900000000002,4.414159,1.219964
ENSMUSG00000000303,Cdh1,0.929303,2.71943,1.56439,1.743463,4.084442,1.896382,3.056864,2.214582
ENSMUSG00000000305,Cdh4,0.101746,0.778124,0,0.112201,0.283321,0.664157,0.261433,0
ENSMUSG00000000308,Ckmt1,18.147985,8.878216,19.248945,11.423501,9.639516,7.520619,10.871848,16.027874
ENSMUSG00000000317,Bcl6b,0.300305,0.298263,0.421216,0.258283,0.632035,0.375346,0.186096,0.365376
ENSMUSG00000000318,Clec10a,0,0.869229,0.940024,0.815375,0.282114,0,0.621729,0.608561
ENSMUSG00000000320,Alox12,0.180769,0.062434,0.071372,0.067298,0.268489,0.044626,0.163239,0.168285
ENSMUSG00000000326,Comt,0,0,0,0,0,0,0,0
ENSMUSG00000000339,Rtca,3.997267,3.454212,7.063024,4.561726,2.9380239999999995,4.78828,4.622039,5.321563
ENSMUSG00000000340,Dbt,1.731943,1.799864,1.12493,0.558889,0.8952709999999999,1.583524,1.1749100000000001,0.700724
ENSMUSG00000000346,Dazap2,3.84811,4.749121000000001,5.0268429999999995,3.630527,6.849311,6.936501,7.899622000000001,5.305873
ENSMUSG00000000355,Mcts1,40.441342,39.625789999999995,45.176098999999994,42.08002,30.274068,39.682237,46.69850600000001,43.82602
ENSMUSG00000000359,Rem1,0,0.097999,0,0,0.601656,0,0,0
ENSMUSG00000000365,Rnf17,0,0,0.125951,0,0,0,0,0.091529
ENSMUSG00000000374,Trappc10,4.954449,3.104917,5.435544999999999,5.267392999999999,3.645721,5.453004000000001,7.747342,6.031226
ENSMUSG00000000378,Ccm2,2.541832,12.60996,18.718571,14.123798,3.231138,7.227707,12.450182,10.072536999999999
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,16.359775,17.910061000000002,25.606644000000003,19.823141999999997,16.591543,14.143907999999998,20.231018999999996,19.25817
ENSMUSG00000000385,Tmprss2,0,0.02125,0,0,0.012276,0.063343,0,0
ENSMUSG00000000386,Mx1,0.930658,1.017044,0.533531,0.608692,0.093161,0.168322,0.240259,0.117242
ENSMUSG00000000392,Fap,0.731766,0.6755260000000001,0.463824,0.46424,1.192409,0.459952,0.598091,0.379563
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,138.445638,141.01905399999998,144.340172,134.799562,147.16230099999999,144.610137,136.277555,139.406333
ENSMUSG00000000409,Lck,0.716051,1.17063,0.828314,0.42063,1.79645,0.858074,0.703356,0
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0.119382,0.055498
ENSMUSG00000000416,Cttnbp2,33.370791,26.861503999999996,28.558394999999997,21.861834,23.594573000000004,22.105484999999998,23.917068000000004,28.384292999999996
ENSMUSG00000000420,Galnt1,45.020286,42.324107,36.985485999999995,39.03214199999999,42.512437,33.920138,42.4322,45.703361
ENSMUSG00000000435,Myf5,0.033528,0.066543,0,0,0,0.033088,0.069098,0.064276
ENSMUSG00000000439,Mkrn2,11.877712999999998,17.027129,14.270983000000001,15.247863,17.228597,14.037299,16.700453,17.797069
ENSMUSG00000000440,Pparg,0,0.815326,0,0,0,0,0,0
ENSMUSG00000000441,Raf1,57.262885,66.207431,58.35600000000001,52.416329000000005,60.007413,54.688970000000005,58.597514,52.023231
ENSMUSG00000000486,Septin1,3.279979,2.248768,3.045104,3.040924,5.2621590000000005,4.009247,1.227694,3.389138
ENSMUSG00000000489,Pdgfb,0.184595,0.113655,0.221936,0.112124,0,0.471227,0.549028,1.2353290000000001
ENSMUSG00000000530,Acvrl1,1.7658170000000002,1.933505,1.592328,0.972758,2.0352230000000002,0.748828,0.779344,1.283698
ENSMUSG00000000538,Tom1l2,22.084670999999997,21.421599999999998,33.127908,21.687159999999995,20.766617,27.364379,20.264615000000003,22.377212
ENSMUSG00000000544,Gpa33,0,0,0.188031,0,0,0,0.032123,0
ENSMUSG00000000555,Itga5,0.83552,0.694306,0.73433,0.361713,1.0146089999999999,0.494216,0.720452,0.966123
ENSMUSG00000000560,Gabra2,44.080875999999996,42.647698,39.86873,48.363096999999996,46.509744000000005,39.259554,47.883627000000004,38.389579999999995
ENSMUSG00000000561,Wdr77,15.426573,13.179513000000002,11.964955,9.977934,11.256555,11.177461000000001,13.525135,15.709150000000001
ENSMUSG00000000562,Adora3,1.859718,1.7488070000000002,2.36365,1.791971,0.8812409999999999,0.783691,1.126776,1.461373
ENSMUSG00000000563,Atp5pb,135.534462,119.906979,104.23182000000001,142.733292,129.869758,124.53780099999999,118.800462,133.743549
ENSMUSG00000000568,Hnrnpd,60.399765,68.52070499999999,56.94993,56.102963,61.201381999999995,55.152277999999995,59.345144999999995,79.824636
ENSMUSG00000000579,Dynlt1c,17.764825000000002,19.673195999999997,23.960264000000002,17.43266,21.825324000000002,17.700899999999997,16.126393,16.897096
ENSMUSG00000000581,C1d,52.876827,70.865101,55.586456,66.36969,68.861041,62.052925,59.128621,60.990238999999995
ENSMUSG00000000600,Krit1,20.150215,17.658279,20.034823,17.861736999999998,18.295534,13.701242,18.901996,18.378661
ENSMUSG00000000605,Clcn4,4.175797,4.430783,5.144519000000001,3.234681,4.550039,4.354099,5.226781,5.7717
ENSMUSG00000000606,Vmn2r88,0.074526,0.030148,0.060733,0.133592,0.067307,0,0.052119,0.056133
ENSMUSG00000000617,Grm6,0,0,0,0,0.041824,0,0,0
ENSMUSG00000000627,Sema4f,0.881321,0.164684,0.186385,0.167522,0.662453,1.165552,0.597524,0.807396
ENSMUSG00000000628,Hk2,0,0,0,0.694598,0,0,0,0
ENSMUSG00000000631,Myo18a,8.841797,12.205909,12.697040000000001,13.139285999999998,13.609907,17.561879,9.820478999999999,16.916872
ENSMUSG00000000632,Sez6,17.205282,17.568682,18.367618999999998,14.100538,19.381164,21.013275,17.554577,20.311459
ENSMUSG00000000673,Haao,0.201787,0.7780290000000001,0.146865,0.41031,0.322866,0.26883999999999997,0.089569,0.023155
ENSMUSG00000000682,Cd52,0.20008,0,0.831218,0.385292,0.401115,0.387578,0,0
ENSMUSG00000000686,Abhd15,0,0,0,0,0.497671,0,0,0
ENSMUSG00000000693,Loxl3,1.085407,2.228122,0.201334,0.145676,0.648052,0,0.315456,0.138748
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0.086621,0,0,0,0.072892,0,0,0
ENSMUSG00000000708,Kat2b,28.172138,25.322840000000003,24.127467,24.981382999999997,24.988500000000002,24.086303,23.960732,29.434562999999997
ENSMUSG00000000711,Rab5b,1.886361,1.877131,1.89336,2.323047,1.984968,1.922736,2.313124,2.014734
ENSMUSG00000000724,Cryba1,0.107667,0.05291,0.225955,0,0.164561,0.052635,0.054868,0.05106
ENSMUSG00000000730,Dnmt3l,0,0,0,0.267768,0,0.27383,0,0.259945
ENSMUSG00000000731,Aire,0.172486,0.136418,0.144534,0.20855999999999997,0.11844299999999999,0.13168,0.045411,0.180033
ENSMUSG00000000732,Icosl,1.09737,0.779514,0.7441139999999999,1.131841,0.346244,0.610702,0.758984,0.80821
ENSMUSG00000000738,Spg7,17.226349999999996,15.496281,15.934031000000003,12.064326000000001,14.703838000000001,17.349019000000002,17.343149,22.550473999999998
ENSMUSG00000000739,Sult5a1,0,0,0,0,0,0,0.41893800000000003,0.28671800000000003
ENSMUSG00000000740,Rpl13,7.4447969999999994,7.973703,9.639018,4.067965,11.193314999999998,5.291228,5.150728000000001,7.212298
ENSMUSG00000000743,Chmp1a,6.669302,7.303113000000001,5.434299,5.462159,6.410502,2.7124230000000003,4.484876,5.795749
ENSMUSG00000000751,Rpa1,9.273639,10.186501,7.820208,10.113533,12.154337,11.140782,10.135746,11.077934
ENSMUSG00000000753,Serpinf1,14.948228,20.650047999999998,16.778149,23.748279999999998,29.419842,18.714619,12.625006,12.616342000000001
ENSMUSG00000000759,Tubgcp3,22.467312000000003,24.090753000000003,22.559745999999997,22.37031,18.35174,15.610327,19.517633999999997,20.334734
ENSMUSG00000000766,Oprm1,5.559018,5.649702,6.132601,4.667229,5.1498800000000005,4.527656,5.916621,6.232614999999999
ENSMUSG00000000776,Polr3d,1.6919110000000002,4.071445,5.885739999999999,0.502839,1.496929,2.2907640000000002,1.6415570000000002,4.257692
ENSMUSG00000000782,Tcf7,0,0,0,0.465028,0.189383,0,0,0
ENSMUSG00000000787,Ddx3x,6.082946,3.3854629999999997,4.640376,3.72019,4.333352,4.044868,4.6792300000000004,4.461206
ENSMUSG00000000791,Il12rb1,0,0,0,0.085153,0,0.25461,0,0
ENSMUSG00000000794,Kcnn3,5.02299,4.558184,4.441356,3.857562,4.657506,3.809562,4.271936,4.607748
ENSMUSG00000000804,Usp32,4.417914,8.79194,5.960834999999999,7.2065980000000005,9.542413999999999,6.66994,5.377174999999999,5.6953890000000005
