ensembl_gene_id,gene_symbol,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,7.055000000000001,2.828,2.375,4.793,1.244,1.409,3.399,7.564
ENSMUSG00000000037,Scml2,22.439999999999998,7.851,18.317999999999998,7.82,21.11,4.345,2.116,6.34
ENSMUSG00000000049,Apoh,1.756,0,1,0,1.31,3.567,0,1
ENSMUSG00000000056,Narf,6.358,5.834,4.216,4.155,1.051,6.552,6.109999999999999,1.05
ENSMUSG00000000078,Klf6,776.246,769.116,833.845,857.2669999999999,782.126,686.898,725.293,768.587
ENSMUSG00000000085,Scmh1,631.0179999999999,712.9739999999999,710.679,567.673,608.877,661.451,652.0550000000001,705.054
ENSMUSG00000000088,Cox5a,64.335,42.07,41.82,41.245000000000005,50.562,43.419999999999995,62.521,30.191
ENSMUSG00000000093,Tbx2,19,19,21,23,17.128,13,27,14
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,80,118.388,90.91,113.041,94.002,68.554,89.021,91.344
ENSMUSG00000000127,Fer,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,805.198,726.34,812.6840000000001,565.724,675.6039999999999,667.553,676.4090000000001,765.7669999999999
ENSMUSG00000000134,Tfe3,133.39600000000002,167.116,105.658,130.457,106.23,80.82300000000001,134.29299999999998,127.21499999999999
ENSMUSG00000000142,Axin2,3.7640000000000002,5.215,34.7,1.149,7.715,7.7620000000000005,5.4350000000000005,2.899
ENSMUSG00000000148,Brat1,446.967,400.96799999999996,359.916,379.663,322.449,415.56699999999995,375.682,434.92699999999996
ENSMUSG00000000149,Gna12,0,0,0,0,0,0,3.636,0
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,7,0,15
ENSMUSG00000000157,Itgb2l,2,0,1,0,0,2,0,1
ENSMUSG00000000159,Igsf5,0,0,0,0,0,1,1,0
ENSMUSG00000000167,Pih1d2,68.308,46.99900000000001,39.99999999999999,40.001,50.428,31.999999999999996,49.257,48.99999999999999
ENSMUSG00000000168,Dlat,265.997,253.12599999999998,236.5,275.38,281.3,202.88500000000002,254.539,332.866
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0
