ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,0.751039,0.737443,0.167529,0.336277,0.23058
ENSMUSG00000000037,Scml2,2.7448569999999997,1.420194,0,0.362036,0,0.895846
ENSMUSG00000000049,Apoh,0,0,1.47089,0,0,0
ENSMUSG00000000056,Narf,3.139364,0.705353,0.368695,4.846420999999999,1.352797,1.113614
ENSMUSG00000000078,Klf6,33.141317,17.125621000000002,13.652001,27.410842000000002,16.558673,13.75293
ENSMUSG00000000085,Scmh1,36.431684000000004,41.161981,34.57007300000001,39.25332900000001,43.782759,39.191883000000004
ENSMUSG00000000088,Cox5a,6.397718,8.602686,7.7014759999999995,4.762367,7.313646,5.610534
ENSMUSG00000000093,Tbx2,0.766404,1.36117,1.331878,1.118387,1.49745,1.092591
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,2.077861,4.482188,2.821435,1.670448,1.920092,2.042443
ENSMUSG00000000127,Fer,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,33.282461999999995,24.325692999999998,32.08957399999999,34.86966900000001,20.851081,27.740186
ENSMUSG00000000134,Tfe3,6.138216,6.017299,6.457369,6.59196,6.042638999999999,5.043984999999999
ENSMUSG00000000142,Axin2,1.141012,2.053247,0.614191,1.001238,2.012443,1.055237
ENSMUSG00000000148,Brat1,2.9971330000000003,11.967457000000001,13.318661,2.210286,13.59814,11.025013000000001
ENSMUSG00000000149,Gna12,0,0,0,0,0,0
ENSMUSG00000000154,Slc22a18,0,0,1.336636,0.304944,0.347969,0
ENSMUSG00000000157,Itgb2l,0.221087,0,0.140703,1.007908,0.113828,0
ENSMUSG00000000159,Igsf5,0.56323,0,0,0.667753,0,0
ENSMUSG00000000167,Pih1d2,6.342136,3.0719070000000004,2.375761,2.245518,3.2497540000000003,3.111725
