ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,0.751039,0.737443,0.167529,0.336277,0.23058,0.635313,0.22596999999999998,0.193732,0.414109,0.124801,0.136354,0.23774699999999999,0.520373
ENSMUSG00000000037,Scml2,2.7448569999999997,1.420194,0,0.362036,0,0.895846,1.186582,0.28999,1.578323,0.146895,1.688143,0.814695,0.041314,0.156001
ENSMUSG00000000049,Apoh,0,0,1.47089,0,0,0,0.59775,0,0.356205,0,0.44936,1.180179,0,0.313171
ENSMUSG00000000056,Narf,3.139364,0.705353,0.368695,4.846420999999999,1.352797,1.113614,1.190079,1.171412,0.827669,0.749596,0.19926,1.20001,1.4156110000000002,0.183956
ENSMUSG00000000078,Klf6,33.141317,17.125621000000002,13.652001,27.410842000000002,16.558673,13.75293,13.163006,12.047666,15.981078,14.666734000000002,12.635343,10.686636,11.800066,11.636145
ENSMUSG00000000085,Scmh1,36.431684000000004,41.161981,34.57007300000001,39.25332900000001,43.782759,39.191883000000004,31.234918999999994,28.701817,33.230343999999995,23.465895999999997,28.496330999999998,29.852363,28.267173,29.579159999999998
ENSMUSG00000000088,Cox5a,6.397718,8.602686,7.7014759999999995,4.762367,7.313646,5.610534,3.130221,2.232821,3.540318,2.240621,3.114871,2.163781,3.54522,1.567254
ENSMUSG00000000093,Tbx2,0.766404,1.36117,1.331878,1.118387,1.49745,1.092591,0.351336,0.349316,0.408869,0.422548,0.324815,0.237428,0.515554,0.248747
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,2.077861,4.482188,2.821435,1.670448,1.920092,2.042443,1.565778,2.303485,1.873431,2.197707,1.886677,1.32515,1.798894,1.717545
ENSMUSG00000000127,Fer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,33.282461999999995,24.325692999999998,32.08957399999999,34.86966900000001,20.851081,27.740186,18.733027000000003,17.737408,23.242273,12.778019,19.530895,20.518237000000003,13.739548999999998,17.065371
ENSMUSG00000000134,Tfe3,6.138216,6.017299,6.457369,6.59196,6.042638999999999,5.043984999999999,2.587167,2.986072,2.2266630000000003,2.779529,3.434396,2.284291,2.539066,1.93993
