ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0,4.503,4.045,1.047,1.515,1.268,7.055000000000001,2.828,2.375,4.793,1.244,1.409,3.399,7.564
ENSMUSG00000000037,Scml2,17.736,4.078,0,6.201,0,6.2379999999999995,22.439999999999998,7.851,18.317999999999998,7.82,21.11,4.345,2.116,6.34
ENSMUSG00000000049,Apoh,0,0,2,0,0,0,1.756,0,1,0,1.31,3.567,0,1
ENSMUSG00000000056,Narf,8.103,2.081,1,14.333,3,3,6.358,5.834,4.216,4.155,1.051,6.552,6.109999999999999,1.05
ENSMUSG00000000078,Klf6,1208.0000000000002,565.384,494.303,1100,386,480.17,776.246,769.116,833.845,857.2669999999999,782.126,686.898,725.293,768.587
ENSMUSG00000000085,Scmh1,537.474,605.125,528.999,641,471.001,575.126,631.0179999999999,712.9739999999999,710.679,567.673,608.877,661.451,652.0550000000001,705.054
ENSMUSG00000000088,Cox5a,47.376000000000005,124.22699999999999,91.418,43.159,70.997,69.764,64.335,42.07,41.82,41.245000000000005,50.562,43.419999999999995,62.521,30.191
ENSMUSG00000000093,Tbx2,25,46,41,39,38,34,19,19,21,23,17.128,13,27,14
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,64,143,82,55,46,60,80,118.388,90.91,113.041,94.002,68.554,89.021,91.344
ENSMUSG00000000127,Fer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,984.775,799.1909999999999,791.016,986.902,588.8209999999999,800.235,805.198,726.34,812.6840000000001,565.724,675.6039999999999,667.553,676.4090000000001,765.7669999999999
ENSMUSG00000000134,Tfe3,216.727,163.85199999999998,144.644,236.09,143.07500000000002,109.576,133.39600000000002,167.116,105.658,130.457,106.23,80.82300000000001,134.29299999999998,127.21499999999999
ENSMUSG00000000142,Axin2,6.703,13.11,7.406,6.198,20.682000000000002,5.936999999999999,3.7640000000000002,5.215,34.7,1.149,7.715,7.7620000000000005,5.4350000000000005,2.899
ENSMUSG00000000148,Brat1,86.071,365.15,359.0970000000001,63.443,317.16399999999993,314.455,446.967,400.96799999999996,359.916,379.663,322.449,415.56699999999995,375.682,434.92699999999996
ENSMUSG00000000149,Gna12,0,0,0,0,0,0,0,0,0,0,0,0,3.636,0
ENSMUSG00000000154,Slc22a18,0,0,14,2,3,0,0,0,0,0,0,7,0,15
ENSMUSG00000000157,Itgb2l,5,0,3,4,2,0,2,0,1,0,0,2,0,1
ENSMUSG00000000159,Igsf5,1,0,0,1.166,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000000167,Pih1d2,52,21.000999999999998,19,16,19,22.000000000000004,68.308,46.99900000000001,39.99999999999999,40.001,50.428,31.999999999999996,49.257,48.99999999999999
ENSMUSG00000000168,Dlat,199.134,249.919,239.358,161.82399999999998,214.63,244.77599999999998,265.997,253.12599999999998,236.5,275.38,281.3,202.88500000000002,254.539,332.866
ENSMUSG00000000183,Fgf6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,879.432,660.153,662.287,1068.8169999999998,485.31,643.2099999999999,792.3079999999999,820.075,798.015,853.491,858.699,710.585,705.848,835.7479999999999
ENSMUSG00000000194,Gpr107,116.62,51.501,38.870999999999995,166.141,26.342,47.99,107.519,141.79999999999998,75.17799999999998,84.97399999999999,132.409,115.433,129.5,118.841
ENSMUSG00000000197,Nalcn,9.741999999999999,10.872,8.681000000000001,15.892,0,15.821000000000003,8.959999999999999,22.601,15.986999999999998,16.099,21.901,15.283,30.657999999999994,25.466
ENSMUSG00000000202,Btbd17,52.809999999999995,76.313,53.935,52.096,37.246,52.064,99.984,38.852000000000004,44.046,56.222,35.879,26.831,72.098,64.91199999999999
ENSMUSG00000000204,Slfn4,0,0,3,0,0,9.588,0,0,0,0,0,8,0,0
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,1409.605,1171.1999999999998,1090.4109999999998,1545.934,853.097,1143.9950000000001,2108.578,2446.7990000000004,2135.82,2314.874,2397.25,2006.3360000000002,2659.2169999999996,2384.7830000000004
ENSMUSG00000000244,Tspan32,0,3,1,1,0,2,7.576,1,2.081,2.111,0,3.367,1,0
ENSMUSG00000000247,Lhx2,0,0,0,0,5.668,0,0,0,3.239,0,0,0,1.191,0
ENSMUSG00000000248,Clec2g,0,0,0,0,1,4,2.706,3.008,1,1.905,4,6,1.948,7
ENSMUSG00000000253,Gmpr,165.596,8.189,67.322,183.703,13.356,76.485,108.44200000000001,46.349,15.450000000000001,153.92700000000002,114.033,172.369,152.591,235.18699999999998
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,1140.471,581.045,484.89000000000004,1370.4769999999999,453.28499999999997,523.479,1244.68,1025.565,1048.8819999999998,1125.25,1033.989,1075.2930000000001,1184.4070000000002,1093.155
