ensembl_gene_id,gene_symbol,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR8327795,SRR8327796,SRR8327799,SRR8327800
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,0.635313,0.22596999999999998,0.193732,0.414109,0,0,0,0.482911
ENSMUSG00000000037,Scml2,1.186582,0.28999,1.578323,0.146895,0.816992,0,0,0
ENSMUSG00000000049,Apoh,0.59775,0,0.356205,0,2.317922,0,0,0
ENSMUSG00000000056,Narf,1.190079,1.171412,0.827669,0.749596,0.908639,13.897305000000001,11.871494,13.82049
ENSMUSG00000000078,Klf6,13.163006,12.047666,15.981078,14.666734000000002,7.573052,8.652180000000001,7.958787,8.706422
ENSMUSG00000000085,Scmh1,31.234918999999994,28.701817,33.230343999999995,23.465895999999997,21.031632,27.984946,25.902712,24.213320000000003
ENSMUSG00000000088,Cox5a,3.130221,2.232821,3.540318,2.240621,266.290431,215.945137,274.936108,167.285584
ENSMUSG00000000093,Tbx2,0.351336,0.349316,0.408869,0.422548,0.96921,0.579118,0.080784,0.410116
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,1.565778,2.303485,1.873431,2.197707,1.187588,2.498816,1.441504,3.790219
ENSMUSG00000000127,Fer,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,18.733027000000003,17.737408,23.242273,12.778019,29.061137000000002,33.91295300000001,46.481162000000005,34.62496099999999
ENSMUSG00000000134,Tfe3,2.587167,2.986072,2.2266630000000003,2.779529,2.320311,0.299957,1.8705669999999999,6.162597
ENSMUSG00000000142,Axin2,0.369124,0.544332,1.730185,0.140628,5.66136,1.243271,5.81428,4.954394000000001
ENSMUSG00000000148,Brat1,9.416704,8.288459999999999,7.7996490000000005,7.824747999999999,2.2421800000000003,6.137943,4.299551,5.4298210000000005
ENSMUSG00000000149,Gna12,0,0,0,0,12.989544,4.89458,33.945797,3.695108
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0.575199,0,0.452468
ENSMUSG00000000157,Itgb2l,0.177081,0,0.027958,0,0,0,0.761804,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,6.383253,3.43853,3.332506,3.177002,1.03343,1.0244879999999998,2.799219,0.550518
ENSMUSG00000000168,Dlat,30.185805000000002,27.779055999999997,28.46547,30.03056,34.837756,62.675675000000005,42.912024,45.046477
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0.062074,0
ENSMUSG00000000184,Ccnd2,8.645171,8.505902,8.745818,8.866666,12.009168,6.468128,11.605383,130.290265
ENSMUSG00000000194,Gpr107,8.207054000000001,9.994031999999999,4.589555,5.281588999999999,15.130903,5.830889999999999,4.26291,8.76116
ENSMUSG00000000197,Nalcn,0.18862,0.45587,0.396487,0.39529,3.884862,3.1144279999999993,1.268781,1.5649899999999999
ENSMUSG00000000202,Btbd17,10.693137,2.819012,2.149268,4.509884,7.611168,14.388044999999998,15.229875999999999,24.280610000000003
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0,0,0
ENSMUSG00000000214,Th,0,0,0,0,1.670514,0.414474,1.155506,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,21.078136,23.996952,22.214319999999997,22.627869000000004,6.631189,14.311933,9.660342000000002,5.678527000000001
ENSMUSG00000000244,Tspan32,0.27539600000000003,0.015394,0.033914,0.032472,0,0,0.068259,0
ENSMUSG00000000247,Lhx2,0,0,0.402897,0,0,0,0.401743,0.387762
ENSMUSG00000000248,Clec2g,0.916622,0.981219,0.35447,0.61225,0.202541,0.403405,0.300363,0.128556
ENSMUSG00000000253,Gmpr,11.728892,4.847553,2.696339,15.338776999999999,74.021187,75.809865,70.794685,75.32559499999999
ENSMUSG00000000263,Glra1,0.292144,0,0,0,4.313348,49.689737,3.800816,37.004656
ENSMUSG00000000266,Mid2,15.449494999999999,12.621395999999999,13.828914,13.793648000000001,7.426741,5.364869,1.7910119999999998,6.24846
ENSMUSG00000000275,Trim25,0,0,0.16193,0,0,0,0,0
ENSMUSG00000000276,Dgke,12.568116,11.26253,12.867908,11.856212999999999,11.132436,8.65043,3.374235,10.158280999999999
ENSMUSG00000000282,Mnt,0,0,0.470406,0.230068,15.37192,0,2.655514,7.114154
ENSMUSG00000000290,Itgb2,6.114996,5.6940479999999996,6.977869,5.569351,3.195593,3.5206500000000003,3.453132,2.684768
ENSMUSG00000000295,Hddc2,2.591328,3.7550689999999998,2.494277,2.2636339999999997,1.863394,16.365459,21.110418000000003,29.330598
ENSMUSG00000000301,Pemt,5.972081,1.813441,4.794608,2.8437170000000003,10.761588,4.45958,3.191405,8.183322
ENSMUSG00000000303,Cdh1,0.929303,2.71943,1.56439,1.743463,2.283434,1.145094,1.761625,1.5074489999999998
ENSMUSG00000000305,Cdh4,0.101746,0.778124,0,0.112201,1.724289,4.765655000000001,4.080561,1.328829
ENSMUSG00000000308,Ckmt1,18.147985,8.878216,19.248945,11.423501,255.603634,165.86591599999997,154.829724,215.211814
ENSMUSG00000000317,Bcl6b,0.300305,0.298263,0.421216,0.258283,0.210016,0.278862,0.175049,0.177735
ENSMUSG00000000318,Clec10a,0,0.869229,0.940024,0.815375,0,5.475849999999999,0,3.256666
ENSMUSG00000000320,Alox12,0.180769,0.062434,0.071372,0.067298,0,0.079537,0.198315,0.201545
ENSMUSG00000000326,Comt,0,0,0,0,0,1.399523,0,0
ENSMUSG00000000339,Rtca,3.997267,3.454212,7.063024,4.561726,37.840392,7.590299,13.433551999999999,57.44897
ENSMUSG00000000340,Dbt,1.731943,1.799864,1.12493,0.558889,0,1.869402,0,10.674069000000001
ENSMUSG00000000346,Dazap2,3.84811,4.749121000000001,5.0268429999999995,3.630527,30.997349,52.868995,17.337422,49.87858
ENSMUSG00000000355,Mcts1,40.441342,39.625789999999995,45.176098999999994,42.08002,104.381383,55.920214,88.741623,73.925164
ENSMUSG00000000359,Rem1,0,0.097999,0,0,0.182694,0,0,0.231918
ENSMUSG00000000365,Rnf17,0,0,0.125951,0,0,0,0,0.407521
ENSMUSG00000000374,Trappc10,4.954449,3.104917,5.435544999999999,5.267392999999999,29.032823,4.48965,23.067517,26.001762000000003
ENSMUSG00000000378,Ccm2,2.541832,12.60996,18.718571,14.123798,42.269089,17.316691,57.076933,20.919638
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,16.359775,17.910061000000002,25.606644000000003,19.823141999999997,19.174559,19.670383,16.728268,11.470405999999999
ENSMUSG00000000385,Tmprss2,0,0.02125,0,0,0.969497,0.14925,0,0.190251
ENSMUSG00000000386,Mx1,0.930658,1.017044,0.533531,0.608692,0.321209,0.341749,0.111544,0.668605
ENSMUSG00000000392,Fap,0.731766,0.6755260000000001,0.463824,0.46424,0.974817,0.173717,0.312651,0
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,138.445638,141.01905399999998,144.340172,134.799562,73.00011099999999,124.746411,120.250174,48.265357
ENSMUSG00000000409,Lck,0.716051,1.17063,0.828314,0.42063,1.848615,0.683125,0,0
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0,0
ENSMUSG00000000416,Cttnbp2,33.370791,26.861503999999996,28.558394999999997,21.861834,19.957655,19.179907,17.111272,16.201264
ENSMUSG00000000420,Galnt1,45.020286,42.324107,36.985485999999995,39.03214199999999,16.136662,15.090685,15.026061999999998,11.273001
ENSMUSG00000000435,Myf5,0.033528,0.066543,0,0,0,0.118513,0,0.151069
ENSMUSG00000000439,Mkrn2,11.877712999999998,17.027129,14.270983000000001,15.247863,18.487046,10.732135,13.341055999999998,9.140916
ENSMUSG00000000440,Pparg,0,0.815326,0,0,0,0,0,0
