ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,5.324,4.71,3.061,5.416,2.402,1.167,2.8,2.556,4.284,1.047,1.515,1.268
ENSMUSG00000000037,Scml2,19.786,19.573999999999998,13.138,15.677,2.541,5.864999999999999,4.595,15.606,0,6.201,0,6.2379999999999995
ENSMUSG00000000049,Apoh,0,0,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000000056,Narf,2.554,0,3.78,0,2.44,3.959,3,8.189,5.3100000000000005,14.333,3,3
ENSMUSG00000000078,Klf6,610.058,670.105,608.817,986,677,630.14,407,535.266,491.905,1100,386,480.17
ENSMUSG00000000085,Scmh1,415.83399999999995,350.663,355.08,468.001,364.99899999999997,377.58899999999994,399.5759999999999,616.529,508.09700000000004,641,471.001,575.126
ENSMUSG00000000088,Cox5a,119.704,104.14800000000001,104.093,125.60300000000001,127.837,135.114,74.103,100.39,71.896,43.159,70.997,69.764
ENSMUSG00000000093,Tbx2,45,38.002,32,57,29.062,13,45,54,49,39,38,34
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,76,70,54,96.001,164,62,69,86,70,55,46,60
ENSMUSG00000000127,Fer,0,1.512,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,490.142,449.722,448.795,505.7060000000001,414.33799999999997,541.5759999999999,577.8539999999999,937.8369999999999,860.8879999999999,986.902,588.8209999999999,800.235
ENSMUSG00000000134,Tfe3,85.745,65.276,39.918000000000006,82.513,43.624,83.31099999999999,169.43,150.864,188.23,236.09,143.07500000000002,109.576
ENSMUSG00000000142,Axin2,64.401,47.312,43.548,79.17899999999999,49.723,55.304,14.387,21.016,0,6.198,20.682000000000002,5.936999999999999
ENSMUSG00000000148,Brat1,207.657,215.708,133.642,174.70499999999998,166.68699999999998,191.685,214.928,376.803,283.18399999999997,63.443,317.16399999999993,314.455
ENSMUSG00000000149,Gna12,0,3.975,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000154,Slc22a18,0,0,2.514,0,0,0,0,0,0,2,3,0
ENSMUSG00000000157,Itgb2l,8,2,5,1,0,4,0,0,0,4,2,0
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0,0,0,0,1.166,0,0
ENSMUSG00000000167,Pih1d2,23,20,13,32.251,28,21,28.000999999999998,24.000999999999998,27.999,16,19,22.000000000000004
ENSMUSG00000000168,Dlat,169.048,178.172,100.65799999999999,138.673,105.37,172.824,199.742,181.303,215.20900000000003,161.82399999999998,214.63,244.77599999999998
ENSMUSG00000000183,Fgf6,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,571.639,682.2520000000001,587.004,759.999,622.0880000000001,713.243,605.035,625.316,620.562,1068.8169999999998,485.31,643.2099999999999
ENSMUSG00000000194,Gpr107,58.181000000000004,95.96,99.197,75.494,83.509,51.012,67.481,46.925000000000004,49.492,166.141,26.342,47.99
ENSMUSG00000000197,Nalcn,3.154,6.248,7.407,5.237,6.934,17.658,9.255,9.216999999999999,0,15.892,0,15.821000000000003
ENSMUSG00000000202,Btbd17,71.62599999999999,75.48499999999999,73.701,121.69500000000001,43.70100000000001,76.694,63.491,48.623,54.387,52.096,37.246,52.064
ENSMUSG00000000204,Slfn4,32,5.868,41.592,99.861,29,15,0,0,0,0,0,9.588
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,1343.8410000000001,1395.3609999999999,845.221,6414.399,2614.687,1516.448,986.3239999999998,1264.5069999999998,1109,1545.934,853.097,1143.9950000000001
ENSMUSG00000000244,Tspan32,1,3,5,23,4,2,3,2,0,1,0,2
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0,0,0,0,5.668,0
ENSMUSG00000000248,Clec2g,2,0,0,0,1,0,0,0,0,0,1,4
ENSMUSG00000000253,Gmpr,1,2.397,5.438,4.3580000000000005,29.262,38,8.09,56.44799999999999,11.258,183.703,13.356,76.485
ENSMUSG00000000263,Glra1,50.87,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,695.7909999999999,814.3019999999999,733.8449999999999,760.634,843.706,765.6600000000001,421.087,651.1899999999999,576.638,1370.4769999999999,453.28499999999997,523.479
ENSMUSG00000000275,Trim25,1.446,0,0,0,0,0,2.492,4.004,0,0,3.282,0
ENSMUSG00000000276,Dgke,1216.34,1139.99,1017.069,893.109,1024.21,1145.13,691.888,954.647,818.357,1800.5790000000002,720.198,794.1400000000001
ENSMUSG00000000282,Mnt,0,0,2.411,0,0,0,24.571,17.844,0,0,7.714,0
ENSMUSG00000000290,Itgb2,128,131,103,168,109,112.06400000000001,129,155,151,111,99,109.089
ENSMUSG00000000295,Hddc2,6.692,9.963,12.202000000000002,20.458000000000002,7.916,20.523,22.546,21.116,16.405,20.451999999999998,11.118,6.167
ENSMUSG00000000301,Pemt,5.401,13.963999999999999,17.439,5.989000000000001,12.258,7.29,3.355,4.436,13.149999999999999,2.365,16.764,8.036
ENSMUSG00000000303,Cdh1,69,49,9,585,201,65,6,10,4,0,6,8
ENSMUSG00000000305,Cdh4,0,2.409,1,3.181,0,1.443,3.566,2.094,8.544,4.047,6.475,2.3899999999999997
ENSMUSG00000000308,Ckmt1,36.241,8.466000000000001,13.11,28.9,20.648,28.155,78.149,87.995,91.42500000000001,72.941,56.842,73.135
ENSMUSG00000000317,Bcl6b,25,39,42.006,56,30,36,38,61,52,59,45,54
ENSMUSG00000000318,Clec10a,0,0,0,0,0,0,0,0.861,0,0,0,0
ENSMUSG00000000320,Alox12,23.656,9,12.761,28,8.591,11.845,10,14,11.233,5,11.586,11
ENSMUSG00000000326,Comt,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000339,Rtca,31.006,23.104,33.872,34.56,24.195,23.925,42.623000000000005,33.384,23.674999999999997,44.004999999999995,23.025000000000002,19.603
ENSMUSG00000000340,Dbt,3.671,16.758000000000003,1.366,10.04,8.727,9.545,8.681000000000001,5.496,1.449,0,15.062000000000001,12.134
ENSMUSG00000000346,Dazap2,27.789,35.17,25.123,37.745999999999995,28.01,17.549,36.482,22.580000000000002,26.543,31.612000000000002,32.808,24.13
ENSMUSG00000000355,Mcts1,174.653,176.529,166.373,150.632,177.057,188.279,112.807,138.09599999999998,147.16199999999998,322.11100000000005,137.213,157.07000000000002
ENSMUSG00000000359,Rem1,2.033,0,1,0,0,0,0,0,0,1.734,0,0
ENSMUSG00000000365,Rnf17,1.919,0,0,4.919,0,0,0,1,0,0,2.801,0
ENSMUSG00000000374,Trappc10,66.876,68.605,50.635,76.565,53.236,76.417,158.633,163.805,142.691,188.305,136.497,163.393
ENSMUSG00000000378,Ccm2,17.992,25.126,19.754,39.239,29.81,22.642,41.886,130.201,150.588,21.845,1.787,13.181000000000001
ENSMUSG00000000381,Wap,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,41.66,43.528000000000006,30.722,50.887,44.641,41.888,162.71,262.44300000000004,106.18699999999998,165.57899999999998,191.876,78.88900000000001
ENSMUSG00000000385,Tmprss2,12,2,1,4,2,5,7,9,2,3,4,7
ENSMUSG00000000386,Mx1,33.859,8,8,6,6,3,10,10,12,2.764,12,16.566
ENSMUSG00000000392,Fap,12,8,26,56.00000000000001,13,13,4,12,11,16,2,6
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,2289.824,2295.126,2061.502,2177.8129999999996,2179.583,2155.437,1978,2249.364,2026.997,2036.157,1804.705,2187
ENSMUSG00000000409,Lck,1.731,1.477,1,1,4.302,3.012,10.26,3.673,4.2669999999999995,7.534,4.973,1
ENSMUSG00000000411,Tssk3,0,0,0,0,2,0,0,1,2,1,1,0
ENSMUSG00000000416,Cttnbp2,903.1980000000001,1086.035,1000.9219999999999,1087,919.001,1268.009,1017,1351.095,1218.554,2294,1000.172,1190.5880000000002
ENSMUSG00000000420,Galnt1,1465.401,1521.062,1459.695,1429.633,1627.446,1653.368,1175.2939999999999,1439.358,1209.908,2729.433,1010.25,1212.682
ENSMUSG00000000435,Myf5,2,0,1,0,1,3,0,4,1,0,3,2
ENSMUSG00000000439,Mkrn2,787.834,737.24,704.5120000000001,763.921,675.913,799.0590000000001,563,569.599,567.257,603,421,500.012
ENSMUSG00000000440,Pparg,0,0,0,0,0,0,0,0,0,0,0,4.162
ENSMUSG00000000441,Raf1,150.84199999999998,131.14,128.53000000000003,142.243,114.03599999999997,178.457,576.3349999999999,734.293,637.811,866.3370000000001,497.75800000000004,658.932
ENSMUSG00000000486,Septin1,34.84,35.016999999999996,28.735,37.171,19.604,32.072,28.899,38.221000000000004,44.242000000000004,45.019,37.359,34.361000000000004
ENSMUSG00000000489,Pdgfb,8.198,14.434999999999999,14.579,14.398,8.063,6,17.081,26.375,29.871,13.531,23.958,26.573
ENSMUSG00000000530,Acvrl1,189.194,160.342,107.851,248.904,119.137,135.261,138.408,176.94,159.565,193.652,166.767,227.272
ENSMUSG00000000538,Tom1l2,345.533,202.21699999999998,271.202,497.091,299.947,315.64399999999995,844.207,1098.201,977.2460000000001,754.097,541.5360000000001,1082.472
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0,2,2,0,0,0
ENSMUSG00000000555,Itga5,28,32,32,64,42,28,35,47,36,39,37,51
ENSMUSG00000000560,Gabra2,683.839,602.5439999999999,644.985,649.8679999999999,658.6329999999999,772.066,534.076,747.8530000000001,689.37,774.146,514.3729999999999,649.767
ENSMUSG00000000561,Wdr77,188.64899999999997,136.709,135.843,161.228,105.21100000000001,190.089,235.31199999999998,333.825,285.587,282.626,189.075,288.82700000000006
