sample_id,gse,layout,tissue,condition,sex,dpi
SRR35143100,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143101,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143102,GSE306455,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR35143106,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR35143107,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR35143108,GSE306455,PAIRED,SPINAL_CORD,CTRL,MALE,14
SRR19070038,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070039,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070040,GSE202166,PAIRED,SPINAL_CORD,SNI,MALE,14
SRR19070035,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070036,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
SRR19070037,GSE202166,PAIRED,SPINAL_CORD,CTRL,MALE,3
